Questions,CoarseType,FineType,WhWord
हलो देखी हाइड्रो सम्म कुन बैंकको नारा हो ?,organization,bank,कुन
हक्किका जादुगर भनेर कसलाई चिनिन्छ ?,person,individual,कसलाई
नेपालमा माछा नपाइने एक मात्र जिल्ला कुन हो ?,location,district,कुन
मनकामना केवलकारको सञ्चालन कहिले देखि भएको हो ?,temporal,date,कहिले
प्रधान न्यायाधीश र सर्वोच्च अदालतका अन्य न्यायाधिशहरु कति वर्षको उमेर नपुगेसम्म आफ्नो पदमा बहाल रहन्छन् ?,numerical,age,कति
लिच्छविकालमा जिल्लालाई के भनिन्थ्यो ?,miscellaneous,other,के
बुलेट महाराज भनेर कसलाई चिनिन्छ ?,person,individual,कसलाई
बिश्वमा सबैभन्दा बढी सुती कपडा उत्पादन गर्ने देश कुन हो ?,location,country,कुन
प्रहरी र जेल नभएको देश कुन हो ?,location,country,कुन
बिश्वमा सबैभन्दा बढी गर्मी हुने ठाँऊ कुन हो ?,location,city,कुन
बिश्वमा सबैभन्दा बढी जाडो हुने ठाँऊ कुन हो ?,location,city,कुन
बालकको सालनाल काट्ने चलन कसले चलाएका हुन ?,person,individual,कसले
नेपाल मा जनगणना कार्य कहिलेदेखी सुरु भएको हो ?,temporal,year,कहिले
नेपालमा कती जिल्लामा चुरे जलाधार संरक्षण कार्यक्रम सन्चालन भएको छ?,numerical,count,कति
बिश्वको सबैभन्दा ठूलो भूपरीवेष्ठित राष्ट्र कुन हो ?,location,country,कुन
सबैभन्दा ठूलो स्थल जिव कुन हो ?,miscellaneous,animal,कुन
सबभन्दा पुरानो धातु कुनलाई मानिन्छ ?,miscellaneous,material,के
बिश्वमा सबैभन्दा बढी बाँच्ने प्राणी कुन हो ?,miscellaneous,animal,कुन
बिश्व सबैभन्दा पुरानो अन्न कुनलाई मानिन्छ ?,miscellaneous,other,के
गिनिज बुक अफ वर्ल्ड रेकर्डमा अंकित हुने नेपालका एकमात्र राजा को हुन् ?,person,individual,को
मोबाइल फोनका आविष्कारक को हुन ?,person,inventor,को
नेपाल नामक टोल बिश्वको कुन देशमा पर्छ ?,location,country,कुन
मध्यरातमा सुर्योदय हुने देश कुन हो ?,location,country,कुन
नेपालको कुन जिल्लालाई मेडिकल सिटी उपनामले चिनिन्छ ?,location,district,कुन
खड़क निशाना छापको प्रयोग कुन राणा प्रधानमन्त्रीले सुरु गरेका हुन् ?,person,individual,कुन
संयुक्त राष्ट्र संघको बडापत्र हालसम्म कति पटक संसोधनगरिएको छ ?,numerical,count,कति
जटापोखरी ताल कुन जिल्लामा रहेको छ ?,location,district,कुन
कमैयाले साहुलाई तिर्ने ऋणलाई के भन्निछ ?,miscellaneous,other,के
नेपाली भाषा सिकाउने प्रयोजनका लागि प्रकाशित गरिएको पहिलो पुस्तक कुन हो ?,miscellaneous,book,कुन
दरवार हाइस्कुलको स्थापना कहिले भएको हो ?,temporal,date,कहिले
टेलिस्कोपका आविष्कारक को थिए ?,person,inventor,को
पेन्सिलिनका आविष्कारक को थिए ?,person,inventor,को
जंगबहादुर राणा प्रधानमन्त्री हुँदा कती बर्षका थिए ?,numerical,age,कति
"आफ्ना मतदातालाई नेगेटिभ भोटिङ अधिकार हालसम्म कति राष्ट्रले प्रदान
गरेका छन् ?",numerical,count,कति
मारियाना ट्रेन्चको गहिराई कति छ ?,numerical,length,कति
टाइफाइडको निदान गर्न गरिने परीक्षणलाई के भनिन्छ ?,miscellaneous,other,के
टेलिफोनका आविष्कारक को हुन् ?,person,inventor,को
टेलिभिजनका आविष्कारक को हुन् ?,person,inventor,को
सूर्य केन्द्रित सिद्धान्तका प्रतिपादक को हुन् ?,person,discoverer,को
दीपेन्द्र शिखर कुन जिल्लामा पर्दछ ?,location,district,कुन
सिरुवा पर्व कुन जातीले मनाउने गर्छन् ?,miscellaneous,other,कुन
रिसाएको बेलामा रातो पसिना निकाल्ने जीव कुन हो ?,miscellaneous,animal,कुन
नेपालको सबैभन्दा उच्च स्थानमा धान खेती हुन्छ त्यो कुन जिल्लामा हो ?,location,district,कुन
जटापोखरी ताल कुन जिल्लामा पर्दछ ?,location,district,कुन
सर्वप्रथम युरोप भ्रमण गर्ने नेपालका राजा को हुन् ?,person,individual,को
नेपालमा सबैभन्दा लामो समयसम्म चल्ने जात्रा कुन हो ?,miscellaneous,religion,कुन
द राइजिङ नेपाल का प्रथम सम्पादक को थिए ?,person,individual,को
गौरा पर्व कुन जातिले मनाउछन ?,miscellaneous,other,कुन
संयुक्त राष्ट्रसंघको सुरक्षा परिसदमा सदस्य राष्ट्रको संख्या कति हुन्छ ?,numerical,count,कति
ललितपुरको स्थापना कसले गरेका थिए ?,person,individual,कसले
च्छोरोल्पा ताल कुन जिल्लामा पर्छ ?,location,district,कुन
नेपालको पुरानो दैनिक पत्रिका गोरखापत्र हाल कति भाषामा प्रकाशित हुने गर्छ?,numerical,count,कति
जीउदो सहिद भनेर कसलाई चिनिन्छ ?,person,individual,कसलाई
मेचे जातिका पुरोहितलाई के भनेर चिनिन्छ ?,miscellaneous,other,के
नेपालमा सबैभन्दा बढि बाघ भएको रा. नि. कुन हो ?,organization,other,कुन
कोतपर्व हुदा नेपालका प्रधानमन्त्री को थिए ?,person,individual,को
विश्वमा सबैभन्दा बढी कम्प्युटर भएको देश कुन हो ?,location,country,कुन
प्लेग रोगको महामारीमा परी मर्ने राजा को हुन् ?,person,individual,को
सबै भन्दा सानो उपग्रह कुन हो ?,miscellaneous,other,कुन
बिश्वको पहिलो महिला राष्ट्रपति कुन देशकी हुन् ?,location,country,कुन
विश्वमा सबैभन्दा पुरानो मूर्ति कुन देशमा छ ?,location,country,कुन
कुन खातामा रकम जम्मा गर्दा व्याज पाइदैन ?,miscellaneous,other,कुन
नेपाल जस्तै शनिबार छुट्टी हुने देश कुन हो ?,location,country,कुन
सबैभन्दा पुरानो वेद कुन हो ?,miscellaneous,book,कुन
धरातलिय दृष्टिकोणले नेपाल कति प्रदेशमा बिभाजित छ ?,numerical,count,कति
संसारको पहीलो रोग केलाई मानीन्छ ?,miscellaneous,disease,के
चिठ्ठाको प्रचलन कुन देशबाट भएको हो ?,location,country,कुन
तोरीको फूलमा कती पुंकेसरहरु. हुनछन?,numerical,count,कति
मानिसको बेेैक्षानिक नाम के हो ?,miscellaneous,other,के
मह मैरिको केहो ?,miscellaneous,other,के
तोोरिको भाले अंगलाई के भनिन्छ?,explanation,description,के
वायुमन्डलको नाईट्रोजनलाई नाईट्रेटमा बदल्ने प्रकियालाई के भनिन्छ ?,miscellaneous,other,के
एनोफिलिस लामखुटट्का फुलहरु.कसरी रहन्छन?,explanation,method,कसरी
फूलको कुन भागमा परागकणहरुको निमार्ण हुन्छ ?,miscellaneous,other,कुन
आफ्नो खाना आफै बनाउने बनस्पतीलाई के भनिन्छ ?,miscellaneous,other,के
लामखुट्टेमा कस्तो गर्भधारण हुन्छ ?,explanation,description,कस्तो
तोरिको फुलमा कति ओटा स्त्रि अंग हुन्छन ?,numerical,count,कति
लाामखु्ट्टे कुन फाईलममा पर्दछ ?,miscellaneous,other,कुन
एनोोफिलिस जातिको लामखट्टेले एक पटकमा कति फुल पार्दछ?,numerical,count,कति
बिरु.वामा हुने िफसन कति प्रकारका हुन्छन ?,numerical,count,कति
मृत जिवनहरु.को शरिर कुहाउने जिवलाई के भनिन्छ?,miscellaneous,other,के
मृत बस्तुहरु. बिच्छेदन भई एमोनिया उत्पन्न हुनुलाई के भनिन्छ?,miscellaneous,other,के
रेसम किराको जिवन चक्रकति चरणमा पुरा हुन्छ?,numerical,count,कति
एउटा कोकुनबाट कति फिट लामो धागो निकाल्न सकिन्छ ?,numerical,length,कति
औलो र्ज्वरो कुन लामखुट्टेले सार्छ?,miscellaneous,other,कुन
कमिलो कुन पाईलममा पर्दछ्?,miscellaneous,other,कुन
क्यालिक्सको रगं कस्तो हुन्छ्?,miscellaneous,color,कस्तो
जिव बिज्ञानका पिता को हुन्?,person,individual,को
बर्गिकरणको आधारभुत एकाई के हो?,miscellaneous,other,के
दोहोरो सूचना प्रवाहको साधन कुन हो?,miscellaneous,other,कुन
"कम्युटरको सहायताले विश्वका विभिन्न भागमा रहेका मानिसहरु. बीच एउटै टेबुलमा छलफल 
गरेझै कुराकानि गर्ने प्रबिधिलाई के भनिन्छ ?",miscellaneous,other,के
कम्युयूटरको मुटु भन्नाले के लाई जनाउदछ?,miscellaneous,other,के
विश्व भरिका बिभिन्न कम्युटरहरु.लाई जोड्ने सञ्जाजाललाई के भनिन्छ?,miscellaneous,other,के
रेौडियोको आबिस्कार को हुन?,person,inventor,को
टेलिफोनका आबिस्कारक कि हुन?,person,inventor,को
ए टि म को पूरा के हो?,miscellaneous,expansion,के
रेडियो नेपालको स्थापना कहिले भयो?,temporal,date,कहिले
नेपाल टेलिभिजनको स्थापना कहिले भयो?,temporal,date,कहिले
गाेरखापत्रको स्थापना कहिलेदेखि भएकोहो ?,temporal,date,कहिले
१ मेगावाईटमा कति किलोवाईट हुन्छ?,numerical,count,कति
कम्युटर भाईरस बनाउने पहिलो व्यकति को हुन?,person,individual,को
"चिठ्ठीपत्र रेडियो ,टेलिभिजन पत्रपत्रिका बाट प्रवाह हुने सूचना प्रणालिलाई के भनिन्छ?",miscellaneous,other,के
टेेलिफोन मोबाईल फोन भिडियो च्याटिङ भिडियो कन्भेन्स आदिबाट हुने सूचना प्रणालिलाई के भनिन्छ?,miscellaneous,other,के
नेेपालमा हुलाक सेवा कहिलेबाट सु४वात भएको हो?,temporal,date,कहिले
टेलिभिजनका आबिसकार को हुन?,person,inventor,को
नेपालमा पहिलो पटक कम्युटर के काम को लागि ल्याईएको थियो?,miscellaneous,other,के
संसारमा सबैभन्दा बढि प्रयोग गरिने इनटरनेट वेवसाइट कुन हो ?,miscellaneous,other,कुन
दुई देश बिच कम्युटर जोड्ने उदाहारण के हो?,miscellaneous,other,के
कम्युनिकेशन कुन भाशाबाट आएको हो?,miscellaneous,language,कुन
नेपालमाा सूचना प्रबिधी पार्क को स्थापना कहा भएको छ?,location,city,कहाँ
इन्टरनेट बाट गरिनेव्यापारलाई के भनिन्छ?,miscellaneous,other,के
वाईनरी प्रणालिमा प्रयोग हुने अंकहरु. के के हुन्?,miscellaneous,other,के
कुनै पनि सख्या गनेर कार्य गर्ने कम्यूटरलाई के भनिन्छ?,miscellaneous,other,के
भ्याकुम ट्यूवको प्रयोग कुन पुस्ताको कम्युटरको गरिएको थियो?,numerical,rank,कुन
प्रकाश कुनै सतहमा ठक्कर खाइ फर्केर पहिलेको माध्यममा नै जाने प्रक्रियालाई के भनिन्छ ?,miscellaneous,other,के
हावामा प्रकाशको वेग कति हुन्छ ?,numerical,speed,कति
प्रकाश एक माध्यमबाट अर्को माध्यममा जाँदा बांगिएर जाने प्रक्रियालाई के भनिन्छ ।,miscellaneous,other,के
हावाबाट प्रकाश काँचमा जाँदा काँचको रिफ्राक्टीभ इन्डेक्स कति हुन्छ ?,numerical,other,कति
हावाबाट प्रकाश पानीमा जाँदा पानीको रिफ्राक्टीभ इन्डेक्स कति हन्छ ?,numerical,other,कति
हिराको रिफ्राक्टीभ इन्डेक्स कति हुन्छ ?,numerical,other,कति
केन्द्रीकरण अर्थात् कन्भर्जीङ्ग ऐना भनेको कुन ऐना हो ?,miscellaneous,other,कुन
काँचको चरमकोण कति हन्छ?,numerical,other,कति
TIR भनेको के हो ?,miscellaneous,expansion,के
मिराज भनेको के हो ?,explanation,description,के
कन्भेक्स लेन्सको अर्को नाम के हो ?,miscellaneous,other,के
कन्भेक्स लेन्स भन्नाले कस्तो लेन्सलाई जनाउँछ ?,explanation,description,कस्तो
कन्केभ लेन्सलाई के भनिन्छ ।,explanation,description,के
हाते लेन्स बनाउन कस्तो लेन्स प्रयोग गरिन्छ ?,explanation,description,कस्तो
लेन्सको केन्द्रलाई के भनिन्छ ?,miscellaneous,other,के
केन्द्रकरण दुरी भनेको के हो ?,miscellaneous,other,के
लेन्सको सामर्थ्यको एकाइ के हो ?,miscellaneous,other,के
मानिसको आँखाको नजिकको विन्दको दुरी कति हुन्छ ?,numerical,length,कति
पर्दामा उतार्न नसकिने आकृतिलाई के भनिन्छ ?,miscellaneous,other,के
पर्दामा उतार्न सकिने आकृतिलाई के भनिन्छ ?,miscellaneous,other,के
दुर दृष्टिको कारण के हो ?,explanation,reason,के
अदुर दृष्टिको कारण के हो ?,explanation,reason,के
दुर दृष्टि हटाउन कुन लेन्स प्रयोग गरिन्छ ?,miscellaneous,other,कुन
अदुर दष्टि हटाउन कुन लेन्स प्रयोग गर्नुपर्छ ?,miscellaneous,other,कुन
माइक्रोस्कोपले कुन कार्य गर्दछ ?,explanation,description,कुन
टेलिस्कोपको कार्य के हो ?,explanation,description,के
सूर्यको प्रकाश पृथ्वीमा आइपुग्न कति समय लाग्दछ ?,temporal,duration,कति
आँखामा पस्ने प्रकाशको मात्रालाई कुन भागले नियन्त्रण गर्दछ ?,miscellaneous,other,कुन
Hyper metropia भनेको के हो ?,explanation,description,के
Myopia भनेको के हो ?,explanation,description,के
पदार्थको अणुहरूको चालबाट उत्पन्न हुने शक्तिलाई के भनिन्छ ?,miscellaneous,other,के
पदार्थको अणुहरूको औसत गति शक्तिलाई के भनिन्छ ।,miscellaneous,other,के
तापक्रमको SI एकाइ के हो ?,miscellaneous,other,के
एक क्यालोरीमा कति जुल हुन्छ ?,numerical,other,कति
1gm शुद्ध पानीको तापक्रम 1°C बढाउन कति ताप चाहिन्छ ?,numerical,other,कति
मानिसको शरीरको तापक्रम कति हुन्छ ?,numerical,temperture,कति
37°C बराबर कति फरेनहाइट हुन्छ ?,numerical,temperture,कति
-40°F बराबर कति डिग्री सेल्सीयस हुन्छ ? ...,numerical,temperture,कति
अल्कोहल 78°C मा उम्लन्छ भने पारो कति उम्लन्छ ?,numerical,temperture,कति
अल्कोहल -115°C मा जम्छ भने पारो कतिमा जम्दछ ?,numerical,temperture,कति
Absolute zero कति डिग्री सेल्सीयस हुन्छ ?,numerical,temperture,कति
1kg पिण्ड भएको वस्तुको तापक्रम 1°C बढाउन आवश्यक ताप शक्तिलई के भनिन्छ ?,miscellaneous,other,के
सबैभन्दा बढी विशिष्ट तापधारण क्षमता भएको तरल पदार्थ कुन हो ?,miscellaneous,material,कुन
पानीको विशिष्ट तापधारण क्षमता कति हुन्छ ?,numerical,other,कति
पानीलाई 0°C देखि 4°C सम्म तताउँदा के हुन्छ ?,explanation,description,के
सुचालक वस्तुमा ताप प्रसारण हुने प्रक्रियालाई के भनिन्छ ?,miscellaneous,other,के
हावामा वा पानीमा ताप कुन प्रक्रियाद्वारा प्रसारण हुन्छ ?,miscellaneous,other,के
बिना माध्यम ताप प्रसार हुने प्रक्रिया कुन हो ?,miscellaneous,other,कुन
स्टाण्डर्ड वायुमण्डलीय चापको मान कति हो ?,numerical,other,कति
अल्कोहल थर्मोमिटर कहाँ प्रयोग गरिन्छ ?,miscellaneous,other,कहाँ
विशिष्ट तापधारण क्षमताको एकाइ के हो ?,miscellaneous,other,के
ध्वनी तरङ्ग भनेको के हो ?,miscellaneous,other,कुन
कम्पनको दिशा र तरङ्ग प्रसारणको दिशा एउटै हुन तरङ्ग कुन हो ?,miscellaneous,other,कुन
ध्वनीको वेग हावामा कति हुन्छ ?,numerical,speed,कति
ध्वनिको वेग पानीमा कति हुन्छ ?,numerical,speed,कति
20Hz भन्दा कम आवृत्ति भएको ध्वनीलाई के भनिन्छ ?,miscellaneous,other,के
20KHz भन्दा बढी आवृत्ति भएको ध्वनीलाई के भनिन्छ ?,miscellaneous,other,के
अल्ट्रासाउण्ड कुन जीवले निकाल्न र सुन्न सक्छ ?,miscellaneous,animal,कुन
समुद्रको गहिराई कुन उपकरणले नापिन्छ ?,miscellaneous,other,कुन
फ्याथोमिटरमा कुन प्रकारको ध्वनी प्रयोग गरिन्छ ?,miscellaneous,other,कुन
अउडीबल साउण्डको आवृत्ति कति हुन्छ ?,numerical,other,कति
ध्वनीको तीव्रता कुन एकाइमा नापिन्छ ?,miscellaneous,other,कुन
टेलिफोनको घण्टी बज्दा कति डेसिबलको ध्वनी निस्कन्छ ?,numerical,other,कति
परोवर्तित ध्वनीलाई के भनिन्छ ?,miscellaneous,other,के
परावर्तित ध्वनी पहिलेको ध्वनीसँग मिसिएर ध्वनी लम्बिएको सनिने प्रक्रियालाई के भनिन्छ ।,miscellaneous,other,के
दिनमा भन्दा रातमा ध्वनी टड्कारो सुनिनको कारण के हो ?,explanation,reason,के
प्रति सेकेण्ड समयमा उत्पन्न हुने तरङ्ग संख्यालाई के भनिन्छ ?,miscellaneous,other,के
पुषको भन्दा महिलाको स्वर किन सुरिलो हुन्छ ?,explanation,reason,किन
तापको समीकरण कुन हो ?,miscellaneous,other,कुन
प्रकाश तरङ्ग कस्तो तरङ्ग हो ?,explanation,description,कस्तो
रुखको पात हल्लिँदा कति डेसिबलको ध्वनी निस्कन्छ ?,numerical,other,कति
कानेखुशी गर्दा कति डेसिबलको ध्वनी निस्कन्छ ?,numerical,other,कति
कुराकानी गर्दा कति डेसिबलको ध्वनी निस्कन्छ ?,numerical,other,कति
कति डेसिबल भन्दा बढीको ध्वनी हानिकारक हुन्छ ?,numerical,other,कति
वरफको विशिष्ट ताप धारण क्षमता कति हुन्छ ?,numerical,other,कति
Hello भनेर फोनमा बोल्ने प्रथम व्यक्ति को हुन् ?,person,individual,को
पोखरीको गहिराई वास्तविक भन्दा कम देखिन्छ किन होला ?,explanation,reason,किन
बरफको घनत्व कति हुन्छ ?,numerical,other,कति
ऐनाको आविष्कारक को हुन् ?,person,inventor,को
ज्वरो आएको बेला बिरामीको निधारमा पानीमा भिजाएको चिसो रुमाल राख्नुको कारण के हो ?,explanation,reason,के
प्रकाशको किरण एक माध्यमबाट अर्को माध्यममा जाँदा बागिएर जाने प्रक्रियालाई के भनिन्छ ?,miscellaneous,other,के
प्रकाशको किरण एक माध्यमबाट अर्को माध्यममा जाँदा किन बाङ्गिन्छ ?,explanation,reason,किन
प्रकाशको किरण विरल माध्यमबाट सघन माध्यममा जाँदा नर्मलबाट कता जान्छ ?,miscellaneous,other,कहाँ
बीचको भाग बाक्लो र किनाराको भाग पातलो भएको लेन्सलाई के भनिन्छ ?,miscellaneous,other,के
बीचमा पातलो र किनाराको भाग बाक्लो भएको लेन्सलाई के भनिन्छ ?,miscellaneous,other,के
केन्द्रकरण विन्दुबाट लेन्सको आप्टिकल केन्द्रसम्मको दूरीलाई के भनिन्छ ?,miscellaneous,other,के
कन्केभ लेन्सको सामर्थ्य कस्तो हुन्छ ?,explanation,description,कस्तो
कन्भेक्स लेन्सको सामर्थ्य कस्तो हुन्छ ?,explanation,description,कस्तो
लेन्सको सामर्थ्यको एकाई के हो ?,miscellaneous,other,के
आकृतिको लम्बाई वा उचाई र वस्तुको लम्बाई वा उचाईको अनुपातलाई के भनिन्छ ?,miscellaneous,other,के
अदुर दृष्टिको कम्जोरी सुधार गर्न कस्तो लेन्सको प्रयोग गर्नुपर्छ ?,explanation,description,कस्तो
वस्तुमा भएको अणुहरुको गति शक्तिको योगलाई के भनिन्छ ?,miscellaneous,other,के
तापको सी.जी.एस. एकाइ के हो ?,miscellaneous,other,के
"एक ग्राम शुद्ध पानीको तापक्रम एक डिग्री से, वृद्धि गर्न आवश्यक तापशक्तिलाई के भनिन्छ ?",miscellaneous,other,के
पानीको घनत्व कति डिग्री से.मा सबैभन्दा बढि हुन्छ ?,numerical,temperture,कति
चिसोपन वा तातोपनको मापन भन्नाले के बुझिन्छ ?,miscellaneous,other,के
. गाडीको इन्जिन चिस्याउन केको प्रयोग गरिन्छ,miscellaneous,material,के
प्रतिध्वनि हुन ध्वनीको स्रोत र परावर्तन हुने सतहबीचको दुरी कति हुनुपर्छ ।,numerical,length,कति
गुञ्जायामान हुन ध्वनीको स्रोत र परावर्तन हने सतहबीचको दुरी कति हुनुपर्दछ ।,numerical,length,कति
घनत्व बढी भएको ग्याँसमा ध्वनिको बेग कस्तो हुन्छ ?,explanation,description,कस्तो
महिलाको स्वरको आवृत्ति करिब कति किलो हर्ज हुन्छ ?,numerical,frequency,कति
पुरुषको स्वरको आवृत्ति करिब कति किलो हर्ज हुन्छ ?,numerical,frequency,कति
भुकम्पको तरङ्ग कस्तो तरङ्ग हो ?,explanation,description,कस्तो
महिला र पुरुषमध्यको कस्को स्वरमा बढी तिक्ष्णता हुन्छ ?,miscellaneous,other,कसको
ध्वनि प्रसारण हुन के आवश्यक पर्छ ?,miscellaneous,other,के
ध्वनि तरङ्कको वेग सबैभन्दा बढी कुनमा हुन्छ ?,miscellaneous,material,के
कुन किरणको कारणले गर्दा घाममा बस्दा छाला पोल्छ ?,miscellaneous,other,कुन
Hypermetropia रोग केसँग सम्बन्धित छ ?,miscellaneous,other,के
प्रकाशको वर्णपटमा कुन रङ्कको किरणको तरङ्क लम्बाइ बढी हुन्छ ?,miscellaneous,color,कुन
विद्युत्को चुम्बकीय असर पत्ता लगाउने वैज्ञानिक को हुन् ?,person,discoverer,को
विद्युत्लाई तापशक्तिमा रूपान्तर गर्ने तारलाई के भनिन्छ ?,miscellaneous,other,के
टङ्गस्टेन कति तापक्रममा पग्लन्छ?,numerical,temperture,कति
विद्युत परिपथमा स्वीच र फ्युजलाई कुन तारसँग जोडिन्छ ?,miscellaneous,other,कुन
फिलामेन्ट बत्तीको कार्यक्षमता कति हुन्छ ?,numerical,percentage,कति
फ्लोरेसेन्ट बत्तीको कार्यक्षमता कति हुन्छ ?,numerical,percentage,कति
कुन उपकरणले विद्युत्शक्तिलाई गतिशक्तिमा रूपान्तर गर्छ ?,miscellaneous,device,कुन
अल्टरनेटिङ्ग emf लाई घटबढ गर्ने उपकरण कुन हो ?,miscellaneous,device,कुन
धारा विद्युत् नाप्ने उपकरण कुन हो ?,miscellaneous,device,के
विद्युत् मोटरका आविष्कारक को हुन् ?,person,inventor,को
भोल्टमिटरलाई परिपथमा कसरी जडान गरिन्छ,explanation,method,कसरी
फ्युज केबाट बनाइन्छ ?,miscellaneous,material,के
विद्युत प्रवाहलाई रोक्न खोज्ने गणलाई के भनिन्छ ?,miscellaneous,other,के
तारको अवरोध र तारको लम्बाईको सम्बन्ध कस्तो हुन्छ ?,explanation,description,कस्तो
इलेक्ट्रोनहरुको प्रवाहलाई के भनिन्छ ?,miscellaneous,other,के
विद्युत् चार्जको मात्रा कुन एकाइमा नापिन्छ ?,miscellaneous,other,कुन
पोटेन्सियल फरक र इलेक्ट्रामोटिम फोर्स केले नापिन्छ ?,miscellaneous,device,के
पोटेन्सियल फरकको S.I. एकाइ के हो ?,miscellaneous,other,के
फलोरेसेन्टबत्तीले कति प्रतिशत प्रकाश दिन्छ ?,numerical,percentage,कति
विद्यत् विच्छेदन क्रियाद्वारा एउटा धातुमा अर्को धातुको लेपन गर्ने क्रियालाई के भनिन्छ ?,miscellaneous,other,के
"याँ हातका ३ ओटा औंला प्रयोग गरी उत्पादित विद्युतको दिशा पत्ता लगाउने नियम कसले पत्ता
लगाएका हुन् ?",person,discoverer,कसले
चम्बकीय क्षेत्रमा रहेको तारमा विद्युत् बहँदा उक्त तारमा चाल उत्पादन हुन्छ भने यसलाई कुन असर भनिन्छ ?,explanation,description,कुन
चुम्बकको उत्तरी ध्रुवमा कुन रङ्गले रङ्गाइएको हुन्छ ?,miscellaneous,color,कुन
विद्युत् मोटरले विद्युत् शक्तिलाई कुन शक्तिमा रुपान्तर गर्छ ?,explanation,description,कुन
धेरै मात्रामा विद्युत् उत्पादन गर्न प्रयोग गरिने उपकरण कुन हो ?,miscellaneous,device,कुन
थोरै विद्युत् उत्पादन गर्न प्रयोग गरिने उपकरण कुन हो ?,miscellaneous,device,कुन
डाइनामो र जेनेरेटरले कसको सिद्धान्तमा काम गर्छन् ?,person,discoverer,कसको
विद्युत् भोल्टेजको मात्रा घटाउन वा बढाउन प्रयोग गरिने उपकरण कुन हो ?,miscellaneous,device,कुन
इन्पुट विद्युत् चापभन्दा आउटपुट विद्युत्को चाप बढाउने ट्रान्सफर्मर कुन हो ?,miscellaneous,other,कुन
इन्पुट विद्युत् चापभन्दा आएटपुट विद्युत्को चाप घटाउने ट्रान्सफर्मर कुन हो ?,miscellaneous,other,कुन
लाइभ तार वा फेजतार कुन रङको हुन्छ ?,miscellaneous,color,कुन
परिपथमा विद्युत्का ध्रुवहरु निरन्तर बदलिरहने करेन्टलाई के भनिन्छ,miscellaneous,other,के
परिपथमा विद्युत्का ध्रुव परिवर्तन नहुने करेन्टलाई के भनिन्छ ?,miscellaneous,other,के
सेलको धनात्मक टर्मिनलसँग जोडिएको इलेक्ट्रोडलाई के भनिन्छ ?,miscellaneous,other,के
सेलको ऋण ध्रुवसँग जोडिएको इलेक्ट्रोडलाई के भनिन्छ ?,miscellaneous,other,के
विद्युत् विच्छेदन गर्न प्रयोग गरिने भाँडोलाई के भनिन्छ ?,miscellaneous,device,के
भोल्टामिटरमा राखिएको इलेक्ट्रोलाइटमा प्रयोग गरिने छडलाई के भनिन्छ ?,miscellaneous,device,के
साधारणतया बत्तीको लाइनमा कति क्षमताको फूयज प्रयोग गरिन्छ ?,numerical,other,कति
ट्रान्सफर्मर कति प्रकारका हुन्छन् ?,numerical,count,कति
अर्थिङ तार कुन रंगको हन्छ ?,miscellaneous,color,कुन
हामो घरमा वितरण भएको लाइनको आवृत्ति कति हन्छ ?,numerical,frequency,कति
साधारणतया हाम्रो घरमा प्रयोग हुने विद्युत् कति voltage को हुन्छ ?,numerical,other,कति
अवपात कोण नाप्न प्रयोग गरिने उपकरण कुन हो ?,miscellaneous,device,कुन
फलामको कस्तो वस्तु हो ?,miscellaneous,other,कस्तो
५५ प्रतिशत तामा र ४५ प्रतिशत निकेल मिसाएर बनाइएको मिश्रित धातु कुन हो ?,miscellaneous,material,कुन
विद्युतको चुम्बकीय असरसम्बन्धी प्रयोग सर्वप्रथम कसले गरेका थिए ?,person,individual,कसले
"“विद्युत घण्टी"" धाराविद्युतको कुन असर हो ?",explanation,description,कुन
पानी बरफ बन्नु कस्तो परिवर्तन हो ?,explanation,description,कस्तो
पारमाणविक कणहरूको पिण्ड नाप्ने एकाइलाई के भनिन्छ ?,miscellaneous,other,कस्तो
युरानियमको पारमाणविक संख्या कति हो ?,numerical,rank,कति
कन धातु सामान्य चाप र तापक्रममा तरल अवस्थामा पाइन्छ ?,miscellaneous,material,कुन
आधुनिक पेरियोडिक तालिकामा कति ओटा पिरियड छन् ?,numerical,count,कति
प्राकतिक रूपमा कतिवटा तत्वहरू पाइएका छन् ?,numerical,count,कति
रासायनिक प्रतिक्रियाको दरलाई प्रभाव पार्ने रसायनलाई के भनिन्छ ?,miscellaneous,other,के
मानिसको आमाशयमा कुन अम्ल उत्पन्न हुन्छ ?,miscellaneous,material,कुन
पेटमा आम्लीयपना घटाउन कुन अल्काली प्रयोग गरिन्छ ?,miscellaneous,material,कुन
रासायनिक परिवर्तनद्वारा टुक्रयाउन नसकिने पदार्थलाई के भनिन्छ ?,miscellaneous,other,के
तत्वहरूबीच इलेक्ट्रोनको साटफेर अर्थात् स्थानान्तरण भई बनेको यौगिकलाई के भनिन्छ ?,miscellaneous,other,के
सबैभन्दा हलुको पारमाणविक कण कुन हो ?,miscellaneous,other,कुन
इलेक्ट्रोन कसले पत्ता लगाएका हुन् ?,person,discoverer,कसले
धातुको आयोनमा कस्तो चार्ज हुन्छ ?,miscellaneous,other,कस्तो
चुनढुङ्गाको आणविक भार कति हुन्छ ?,numerical,other,कति
विभिन्न रङ्गहरूको मिश्रण छुट्याउने विधिलाई के भनिन्छ ?,miscellaneous,other,के
सबैभन्दा कमजोर अम्ल कुन हो ?,miscellaneous,material,कुन
